treatment_appeal,chain_code,chain_num,chain_num_plot,chain_rank
high_appeal,mjmtlhqc2_7p2nvof4H,1,20,1
high_appeal,0m69p768o_i3oq5e6tH,2,19,2
high_appeal,9xzdo10lx_7p2nvof4H,3,18,3
high_appeal,cjhc3hy5j_7p2nvof4H,4,17,4
high_appeal,w5wnt9d98_i3oq5e6tH,5,16,5
high_appeal,3gaxclyyh_7p2nvof4H,6,15,6
high_appeal,twv4tavfw_i3oq5e6tH,7,14,7
high_appeal,w0h9sbawo_i3oq5e6tH,8,13,8
high_appeal,oghwt207z_7p2nvof4H,9,12,9
high_appeal,peio9rhh8_7p2nvof4H,10,11,10
high_appeal,dtxsgs3aj_7p2nvof4H,11,10,11
high_appeal,rlzyoiwkj_i3oq5e6tH,12,9,12
high_appeal,z7ply7bzt_i3oq5e6tH,13,8,13
high_appeal,psiqfoqqa_i3oq5e6tH,14,7,14
high_appeal,fcb7bmvvh_7p2nvof4H,15,6,15
high_appeal,5l89gi5b0_i3oq5e6tH,16,5,16
high_appeal,5171koccj_7p2nvof4H,17,4,17
high_appeal,vrv867wu7_i3oq5e6tH,18,3,18
high_appeal,suxnj0hys_7p2nvof4H,19,2,19
high_appeal,i4w5wfiqi_i3oq5e6tH,20,1,20
low_appeal,2no7usrcu_r920kresL,21,20,1
low_appeal,q827jyv4x_iow52nbfL,22,19,2
low_appeal,3yms1whn8_r920kresL,23,18,3
low_appeal,4uv5qga2z_iow52nbfL,24,17,4
low_appeal,0u6btckc7_r920kresL,25,16,5
low_appeal,fek9p7w0j_r920kresL,26,15,6
low_appeal,5p4p9nub5_r920kresL,27,14,7
low_appeal,msmg1m4ue_iow52nbfL,28,13,8
low_appeal,winww1z7z_iow52nbfL,29,12,9
low_appeal,t1xk22q3b_iow52nbfL,30,11,10
low_appeal,czy995vgh_r920kresL,31,10,11
low_appeal,iab05dwju_r920kresL,32,9,12
low_appeal,qwkawncgn_r920kresL,33,8,13
low_appeal,dpyn89dks_iow52nbfL,34,7,14
low_appeal,hi5b3cmq4_iow52nbfL,35,6,15
low_appeal,g3eqh2ire_iow52nbfL,36,5,16
low_appeal,plmighu3z_r920kresL,37,4,17
low_appeal,pxat8o8cz_iow52nbfL,38,3,18
low_appeal,0o9sbfmb3_iow52nbfL,39,2,19
low_appeal,18w8ees7o_r920kresL,40,1,20
