label,n,n11,n10,n01,n00,accuracy,positive_match_jaccard,negative_match_jaccard
mix_and_match,480,111,3,25,341,0.94,0.8,0.92
mismatch,480,16,3,3,458,0.99,0.73,0.99
color_based,480,16,38,9,417,0.9,0.25,0.9
shape_based,480,39,7,5,429,0.98,0.76,0.97
spread,480,91,39,20,330,0.88,0.61,0.85
mix_nutrients,480,27,4,163,286,0.65,0.14,0.63
pure_nutrients,480,12,3,44,421,0.9,0.2,0.9
spatial,480,31,4,7,438,0.98,0.74,0.98
useall,480,31,4,14,431,0.96,0.63,0.96
time,480,5,0,5,470,0.99,0.5,0.99
blue_prioritize,480,90,9,12,369,0.96,0.81,0.95
yellow_prioritize,480,57,7,31,385,0.92,0.6,0.91
red_prioritize,480,34,3,24,419,0.94,0.56,0.94
less_per_plant,480,4,1,31,444,0.93,0.11,0.93
more_per_plant,480,6,2,22,450,0.95,0.2,0.95
variation,480,17,1,28,434,0.94,0.37,0.94
noinfo,480,4,3,1,472,0.99,0.5,0.99
other,480,4,16,24,436,0.92,0.09,0.92
OVERALL,8640,595,147,468,7430,0.93,0.49,0.92
